Year,Month,Title,URL
2019,4,"Dimotori Asing, IHSG Coba Bertahan 3 Hari di Zona Hijau",https://www.cnbcindonesia.com/market/20190430124704-17-69662/dimotori-asing-ihsg-coba-bertahan-3-hari-di-zona-hijau
2019,4,"Sebelum May Day, Simak Rekomendasi Saham Cuan Hari Ini",https://www.cnbcindonesia.com/market/20190430082812-17-69594/sebelum-may-day-simak-rekomendasi-saham-cuan-hari-ini
2019,4,"Saat Asing Banyak Keluar, IHSG Finish di Zona Hijau",https://www.cnbcindonesia.com/market/20190429162645-17-69484/saat-asing-banyak-keluar-ihsg-finish-di-zona-hijau
2019,5,"Peringkat Utang Indonesia Naik, Saham Perbankan Melesat!",https://www.cnbcindonesia.com/market/20190531150618-17-76180/peringkat-utang-indonesia-naik-saham-perbankan-melesat
2019,5,"Investor Asing Borong Saham, IHSG Melejit 0,92%",https://www.cnbcindonesia.com/market/20190531121944-17-76120/investor-asing-borong-saham-ihsg-melejit-092
2019,5,"Wow! Jelang Libur Lebaran, Asing Serbu Pasar Saham RI",https://www.cnbcindonesia.com/market/20190531110654-17-76092/wow-jelang-libur-lebaran-asing-serbu-pasar-saham-ri
2019,5,"Divestasi ANZ di Bank Panin & Kisah CA Capital, Sang Pembeli",https://www.cnbcindonesia.com/market/20190531093714-17-76049/divestasi-anz-di-bank-panin-kisah-ca-capital-sang-pembeli
2019,5,Siapa CA Capital yang Mau Beli Saham PaninBank dari ANZ?,https://www.cnbcindonesia.com/market/20190530174725-17-75999/siapa-ca-capital-yang-mau-beli-saham-paninbank-dari-anz
2019,6,"IHSG Menguat Kala Bursa Asia Jatuh, Terima Kasih Pak Jokowi!",https://www.cnbcindonesia.com/market/20190628154732-17-81454/ihsg-menguat-kala-bursa-asia-jatuh-terima-kasih-pak-jokowi
2019,6,"Duh! Jokowi Effect Pudar, IHSG Rehat Siang di Zona Merah",https://www.cnbcindonesia.com/market/20190628120443-17-81344/duh-jokowi-effect-pudar-ihsg-rehat-siang-di-zona-merah
2019,6,"Tuh kan! Jokowi 2 Periode, Asing Mulai Borong Saham Rp 187 M",https://www.cnbcindonesia.com/market/20190628101624-17-81276/tuh-kan-jokowi-2-periode-asing-mulai-borong-saham-rp-187-m
2019,6,"Ada Jokowi Effect, IHSG Menutup Hari di Zona Hijau",https://www.cnbcindonesia.com/market/20190627160700-17-81131/ada-jokowi-effect-ihsg-menutup-hari-di-zona-hijau
2019,6,"Jokowi Effect Mulai Terasa, IHSG Naik 0,59% Akhir Sesi I",https://www.cnbcindonesia.com/market/20190627123108-17-81053/jokowi-effect-mulai-terasa-ihsg-naik-059-akhir-sesi-i
2019,7,Duet Perang Dagang & The Fed Bikin IHSG Tak Berkutik,https://www.cnbcindonesia.com/market/20190731122716-17-88829/duet-perang-dagang-the-fed-bikin-ihsg-tak-berkutik
2019,7,Lagi! Vera Eva Lim Tambah Kepemilikan Saham BCA,https://www.cnbcindonesia.com/market/20190730171032-17-88659/lagi-vera-eva-lim-tambah-kepemilikan-saham-bca
2019,7,"Ada 'Thomas Lembong Effect', IHSG Melejit 1,24%",https://www.cnbcindonesia.com/market/20190730163854-17-88651/ada-thomas-lembong-effect-ihsg-melejit-124
2019,7,"Penanaman Modal Asing Akhirnya Tumbuh, IHSG Naik 0,68%",https://www.cnbcindonesia.com/market/20190730122418-17-88533/penanaman-modal-asing-akhirnya-tumbuh-ihsg-naik-068
2019,7,"Anjlok 5% Lebih, Kapitalisasi HMSP Kini Disalip Unilever",https://www.cnbcindonesia.com/market/20190729170758-17-88361/anjlok-5-lebih-kapitalisasi-hmsp-kini-disalip-unilever
2019,8,"Hore! Asing Balik Lagi, IHSG Hijau 4 Hari Beruntun",https://www.cnbcindonesia.com/market/20190830163039-17-96032/hore-asing-balik-lagi-ihsg-hijau-4-hari-beruntun
2019,8,"AS-China Dingin, Empat Hari Sudah IHSG Bertahan Hijau!",https://www.cnbcindonesia.com/market/20190830121052-17-95930/as-china-dingin-empat-hari-sudah-ihsg-bertahan-hijau
2019,8,"Semesta Tak Mendukung, IHSG Cuma Bisa Naik Tipis",https://www.cnbcindonesia.com/market/20190829164536-17-95736/semesta-tak-mendukung-ihsg-cuma-bisa-naik-tipis
